state,skill,count,state_total,demand_score
Maharashtra,Sales & Business Development,4081,37948,0.10754189944134078
Maharashtra,Soft Skills (Communication/Leadership),3236,37948,0.08527458627595658
Maharashtra,Software Testing / QA,1050,37948,0.02766944239485612
Maharashtra,Supply Chain & Logistics,996,37948,0.02624644250026352
Odisha,Cloud Computing (AWS/GCP/Azure),1,48,0.020833333333333332
Odisha,Customer Support / BPO,3,48,0.0625
Odisha,Cybersecurity,2,48,0.041666666666666664
Odisha,Data Science & Analytics,2,48,0.041666666666666664
Odisha,Finance & Accounting,2,48,0.041666666666666664
Odisha,Frontend Frameworks,1,48,0.020833333333333332
Odisha,Human Resources (HR) & Recruitment,4,48,0.08333333333333333
Odisha,Industrial & Manufacturing,6,48,0.125
Odisha,Marketing & SEO,2,48,0.041666666666666664
Odisha,SAP,1,48,0.020833333333333332
Odisha,SQL / Relational DBs,5,48,0.10416666666666667
Odisha,Sales & Business Development,13,48,0.2708333333333333
Odisha,Soft Skills (Communication/Leadership),5,48,0.10416666666666667
Odisha,Supply Chain & Logistics,1,48,0.020833333333333332
Punjab,Backend Frameworks,1,490,0.0020408163265306124
Punjab,Business Analysis,6,490,0.012244897959183673
Punjab,Business Intelligence (BI),1,490,0.0020408163265306124
Punjab,C/C++,2,490,0.004081632653061225
Punjab,Cloud Computing (AWS/GCP/Azure),2,490,0.004081632653061225
Punjab,Customer Support / BPO,28,490,0.05714285714285714
Punjab,Cybersecurity,8,490,0.0163265306122449
Punjab,Data Science & Analytics,9,490,0.018367346938775512
Punjab,DevOps & CI/CD,1,490,0.0020408163265306124
Punjab,ERP & CRM,6,490,0.012244897959183673
Punjab,Excel,10,490,0.02040816326530612
Punjab,Finance & Accounting,32,490,0.0653061224489796
Punjab,Frontend Frameworks,2,490,0.004081632653061225
Punjab,Human Resources (HR) & Recruitment,26,490,0.053061224489795916
Punjab,Industrial & Manufacturing,36,490,0.07346938775510205
Punjab,Java,1,490,0.0020408163265306124
Punjab,JavaScript,3,490,0.006122448979591836
Punjab,Machine Learning & AI,2,490,0.004081632653061225
Punjab,Marketing & SEO,54,490,0.11020408163265306
Punjab,Mobile App Development,2,490,0.004081632653061225
Punjab,Project & Product Management,8,490,0.0163265306122449
Punjab,SAP,13,490,0.026530612244897958
Punjab,SQL / Relational DBs,1,490,0.0020408163265306124
Punjab,Sales & Business Development,126,490,0.2571428571428571
Punjab,Soft Skills (Communication/Leadership),94,490,0.19183673469387755
Punjab,Software Testing / QA,5,490,0.01020408163265306
Punjab,Supply Chain & Logistics,11,490,0.022448979591836733
Rajasthan,Agile & Scrum,9,1557,0.005780346820809248
Rajasthan,Backend Frameworks,9,1557,0.005780346820809248
Rajasthan,Business Analysis,11,1557,0.007064868336544637
Rajasthan,Business Intelligence (BI),5,1557,0.0032113037893384713
Rajasthan,C# / .NET,5,1557,0.0032113037893384713
Rajasthan,C/C++,4,1557,0.002569043031470777
Rajasthan,Cloud Computing (AWS/GCP/Azure),20,1557,0.012845215157353885
Rajasthan,Customer Support / BPO,122,1557,0.0783558124598587
Rajasthan,Cybersecurity,20,1557,0.012845215157353885
Rajasthan,Data Engineering (ETL/Big Data),3,1557,0.0019267822736030828
Rajasthan,Data Science & Analytics,28,1557,0.01798330122029544
Rajasthan,DevOps & CI/CD,7,1557,0.00449582530507386
Rajasthan,ERP & CRM,34,1557,0.021836865767501604
Rajasthan,Excel,24,1557,0.015414258188824663
Rajasthan,Finance & Accounting,158,1557,0.1014771997430957
Rajasthan,Frontend Frameworks,25,1557,0.01605651894669236
Rajasthan,Git / Version Control,5,1557,0.0032113037893384713
Rajasthan,Human Resources (HR) & Recruitment,90,1557,0.057803468208092484
Rajasthan,Industrial & Manufacturing,37,1557,0.023763648041104687
Rajasthan,Java,5,1557,0.0032113037893384713
Rajasthan,JavaScript,17,1557,0.010918432883750802
Rajasthan,Machine Learning & AI,9,1557,0.005780346820809248
Rajasthan,Marketing & SEO,116,1557,0.07450224791265253
Rajasthan,Mobile App Development,10,1557,0.006422607578676943
Rajasthan,NoSQL DBs,2,1557,0.0012845215157353885
Rajasthan,Project & Product Management,32,1557,0.020552344251766216
Rajasthan,Python,13,1557,0.008349389852280027
Rajasthan,SAP,44,1557,0.028259473346178548
Rajasthan,SQL / Relational DBs,19,1557,0.012202954399486191
Rajasthan,Sales & Business Development,321,1557,0.20616570327552985
Rajasthan,Soft Skills (Communication/Leadership),265,1557,0.170199100834939
Rajasthan,Software Testing / QA,16,1557,0.010276172125883108
Rajasthan,Supply Chain & Logistics,72,1557,0.046242774566473986
Tamil Nadu,Agile & Scrum,245,12618,0.019416706292597875
Tamil Nadu,Backend Frameworks,125,12618,0.009906482802345856
Tamil Nadu,Business Analysis,167,12618,0.013235061023934062
Tamil Nadu,Business Intelligence (BI),111,12618,0.00879695672848312
Tamil Nadu,C# / .NET,56,12618,0.004438104295450943
Tamil Nadu,C/C++,132,12618,0.010461245839277223
Tamil Nadu,Cloud Computing (AWS/GCP/Azure),400,12618,0.03170074496750674
Tamil Nadu,Customer Support / BPO,894,12618,0.07085116500237755
Tamil Nadu,Cybersecurity,190,12618,0.0150578538595657
Tamil Nadu,Data Engineering (ETL/Big Data),165,12618,0.01307655729909653
Tamil Nadu,Data Science & Analytics,328,12618,0.025994610873355525
Tamil Nadu,DevOps & CI/CD,359,12618,0.028451418608337296
Tamil Nadu,ERP & CRM,309,12618,0.024488825487398953
Tamil Nadu,Excel,120,12618,0.009510223490252021
Tamil Nadu,Finance & Accounting,664,12618,0.05262323664606118
Tamil Nadu,Frontend Frameworks,461,12618,0.03653510857505152
Tamil Nadu,Git / Version Control,124,12618,0.009827230939927089
Tamil Nadu,Human Resources (HR) & Recruitment,517,12618,0.04097321287050246
Tamil Nadu,Industrial & Manufacturing,574,12618,0.04549056902837217
Tamil Nadu,Java,396,12618,0.03138373751783167
Tamil Nadu,JavaScript,323,12618,0.025598351561261688
Tamil Nadu,Machine Learning & AI,180,12618,0.014265335235378032
Tamil Nadu,Marketing & SEO,472,12618,0.03740687906165795
Tamil Nadu,Mobile App Development,167,12618,0.013235061023934062
Tamil Nadu,NoSQL DBs,33,12618,0.002615311459819306
Tamil Nadu,Project & Product Management,463,12618,0.036693612299889045
Tamil Nadu,Python,413,12618,0.03273101917895071
Tamil Nadu,SAP,356,12618,0.028213663021080995
Tamil Nadu,SQL / Relational DBs,525,12618,0.041607227769852595
Tamil Nadu,Sales & Business Development,1419,12618,0.11245839277223015
Tamil Nadu,Soft Skills (Communication/Leadership),1234,12618,0.09779679822475829
Tamil Nadu,Software Testing / QA,363,12618,0.028768426058012362
Tamil Nadu,Supply Chain & Logistics,333,12618,0.026390870185449358
Telangana,Agile & Scrum,566,20709,0.02733111207687479
Telangana,Backend Frameworks,172,20709,0.008305567627601526
Telangana,Business Analysis,321,20709,0.015500507025930754
Telangana,Business Intelligence (BI),256,20709,0.01236177507363948
Telangana,C# / .NET,96,20709,0.004635665652614805
Telangana,C/C++,268,20709,0.012941233280216331
Telangana,Cloud Computing (AWS/GCP/Azure),988,20709,0.04770872567482737
Telangana,Customer Support / BPO,921,20709,0.04447341735477329
Telangana,Cybersecurity,377,20709,0.01820464532328939
Telangana,Data Engineering (ETL/Big Data),373,20709,0.018011492587763776
Telangana,Data Science & Analytics,819,20709,0.03954802259887006
Telangana,DevOps & CI/CD,686,20709,0.0331256941426433
Telangana,ERP & CRM,604,20709,0.02916606306436815
Telangana,Excel,181,20709,0.008740161282534164
Telangana,Finance & Accounting,728,20709,0.03515379786566227
Telangana,Frontend Frameworks,958,20709,0.046260080158385244
Telangana,Git / Version Control,282,20709,0.01361726785455599
Telangana,Human Resources (HR) & Recruitment,766,20709,0.03698874885315563
Telangana,Industrial & Manufacturing,571,20709,0.02757255299628181
